experiment,time_years,SOC_ambient,SOC_elevated,n_sample_SOC_ambient,n_sample_SOC_elevated
ArizonaFACE - wheat - high N,0,1343.84,1228.4,4,4
ArizonaFACE - wheat - high N,0.5,1363.08,1305.36,4,4
ArizonaFACE - wheat - high N,1,1253.56,1263.92,4,4
ArizonaFACE - wheat - high N,1.5,1258,1400.08,4,4
Biosphere 2,0,5950,6362.43421052632,1,1
Biosphere 2,1,5253.57142857143,4735.13157894737,1,1
Biosphere 2,2,6084.09090909091,4784.76608187134,1,1
Biosphere 2,3,5470,4063.78947368421,1,1
Biosphere 2,4,5335,4220.35087719298,1,1
China FACE - low N,3.66,1936.62,2192.4,3,3
China FACE - low N,4,1936.62,2122.8,3,3
China FACE - high N,3.66,1926.18,2134.98,3,3
China FACE - high N,4,1936.62,2105.4,3,3
China OTC - low N,0.33,1103.17123287671,1168.46153846154,2,3
China OTC - low N,0.666,1035.6301369863,1096.92307692308,2,3
China OTC - low N,1,1936.17808219178,2384.61538461538,2,3
China OTC - low N,1.33,2318.91095890411,2217.69230769231,2,3
China OTC - low N,1.66,2060.00342465753,2050.76923076923,2,3
China OTC - low N,2,2431.4794520548,2301.15384615385,2,3
China OTC - low N,2.33,2262.62671232877,2360.76923076923,2,3
China OTC - low N,2.66,2116.28767123288,2158.07692307692,2,3
China OTC - low N,3,3624.70547945206,3314.61538461538,2,3
China OTC - low N,3.33,3253.22945205479,3278.84615384615,2,3
China OTC - low N,3.66,3287,3410,2,3
China OTC - high N,0.33,1200.70588235294,1198.06779661017,2,3
China OTC - high N,0.666,921.970588235294,1409.49152542373,2,3
China OTC - high N,1,1929.70588235294,2372.64406779661,2,3
China OTC - high N,1.33,1951.14705882353,2513.59322033898,2,3
China OTC - high N,1.66,1586.64705882353,3053.89830508475,2,3
China OTC - high N,2,2015.47058823529,3030.40677966102,2,3
China OTC - high N,2.33,2272.76470588235,2725.01694915254,2,3
China OTC - high N,2.66,2187,2701.52542372881,2,3
China OTC - high N,3,3602.11764705882,3946.57627118644,2,3
China OTC - high N,3.33,3580.67647058824,4169.74576271187,2,3
China OTC - high N,3.66,3645,4158,2,3
FACTS I,0,1977,2142,3,3
FACTS I,3.17,1902,2208,3,3
FACTS I,6,2407,2734,3,3
FACTS I,9,2164,2096,3,3
FACTS II - Aspen,4,3575.07,3562.4,3,3
FACTS II - Aspen,6,3625.22,4434.77,3,3
FACTS II - Aspen,7,3235.48,3242.64,3,3
FACTS II - Aspen,8,3741.46,3506.22,3,3
FACTS II - Aspen,9,4243.47,3840.68,3,3
FACTS II - Aspen,10,4373.51,3760.06,3,3
FACTS II - Aspen,11,5118.87,3267.47,3,3
FACTS II - Aspen (+O3),4,3192.54,3199.43,3,3
FACTS II - Aspen (+O3),6,3080.8,3433.24,3,3
FACTS II - Aspen (+O3),7,3418.36,2804.18,3,3
FACTS II - Aspen (+O3),8,3886.14,2889.98,3,3
FACTS II - Aspen (+O3),9,4072.97,3444.45,3,3
FACTS II - Aspen (+O3),10,4382.11,3268.49,3,3
FACTS II - Aspen (+O3),11,4782.79,3140.94,3,3
FACTS II - Aspen/Birch,4,3256.05,3816.81,3,3
FACTS II - Aspen/Birch,6,3347.32,3274.32,3,3
FACTS II - Aspen/Birch,7,3407.67,3457.47,3,3
FACTS II - Aspen/Birch,8,3652.93,3436.28,3,3
FACTS II - Aspen/Birch,9,4433,4196.18,3,3
FACTS II - Aspen/Birch,10,4124.99,3831.59,3,3
FACTS II - Aspen/Birch,11,3483.65,3946.42,3,3
FACTS II - Aspen/Birch (+O3),4,3305.46,3120.98,3,3
FACTS II - Aspen/Birch (+O3),6,4104.62,3798.11,3,3
FACTS II - Aspen/Birch (+O3),7,2942.85,3255.45,3,3
FACTS II - Aspen/Birch (+O3),8,3577.59,3350.95,3,3
FACTS II - Aspen/Birch (+O3),9,4083.14,4063.81,3,3
FACTS II - Aspen/Birch (+O3),10,3909.27,4289.8,3,3
FACTS II - Aspen/Birch (+O3),11,4113.33,3849.28,3,3
FACTS II - Aspen/Mapel,4,2908.2,3541.12,3,3
FACTS II - Aspen/Mapel,6,3327.21,3185.62,3,3
FACTS II - Aspen/Mapel,7,3134.93,3269.54,3,3
FACTS II - Aspen/Mapel,8,4205.96,3959.59,3,3
FACTS II - Aspen/Mapel,9,4022.99,3849.77,3,3
FACTS II - Aspen/Mapel,10,4013.86,4450.25,3,3
FACTS II - Aspen/Mapel,11,3947.76,4674.97,3,3
FACTS II - Aspen/Mapel (+O3),4,3449.08,3333.9,3,3
FACTS II - Aspen/Mapel (+O3),6,3512.41,2960.93,3,3
FACTS II - Aspen/Mapel (+O3),7,3320.87,3240.07,3,3
FACTS II - Aspen/Mapel (+O3),8,3564.09,3375.91,3,3
FACTS II - Aspen/Mapel (+O3),9,4115,3739.11,3,3
FACTS II - Aspen/Mapel (+O3),10,3982.34,3737.1,3,3
FACTS II - Aspen/Mapel (+O3),11,4093.18,3722.54,3,3
GiFACE,0,3420,3528,3,3
GiFACE,9.08333333333333,3150,3096,3,3
Hohenheim,2,1725,1767,5,5
Hohenheim,2.5,1707,1641,5,5
Hohenheim,3,1805,1744,5,5
Hohenheim,3.5,1567,1588,5,5
Hohenheim,4,1680,1717,5,5
Hohenheim,4.5,1721,1763,5,5
Jasper Ridge - sandstone,0,2646,2646,10,10
Jasper Ridge - sandstone,1.41,2645.66929133858,2354.33070866142,10,10
Jasper Ridge - sandstone,2.41,2251.96850393701,2338.58267716535,10,10
Jasper Ridge - sandstone,3.41,2314.96062992126,2314.96062992126,10,10
Jasper Ridge - sandstone,4.41,2497,2486,10,10
Jasper Ridge - sandstone,5.41,2612,2750,10,10
JRGCE - Control,2,2383.74352914577,2344.24487919273,6,6
JRGCE - Control,8,2427.8607817376,2173.41249020178,6,6
JRGCE - Burn,2,2295.96311693709,2496.82108467828,4,4
JRGCE - Burn,8,2544.48291535818,2268.83059952771,4,4
JRGCE - N,2,2247.69288532535,2380.91938643096,6,6
JRGCE - N,8,2551.5509234564,2328.90866836256,6,6
JRGCE - N x Burn,2,2359.15936795258,2424.66101797247,4,4
JRGCE - N x Burn,8,2528.57989713719,2226.42255093841,4,4
JRGCE - Water,2,2292.47938283001,2268.04943113261,6,6
JRGCE - Water,8,2311.23864811702,2085.06238897407,6,6
JRGCE - Water x Burn,2,2393.88201854779,2563.04579165088,4,4
JRGCE - Water x Burn,8,2396.05474529562,2300.63663596969,4,4
JRGCE - Water x N,2,2192.72580269627,2263.72679461109,6,6
JRGCE - Water x N,8,2625.76500848768,2441.99679793403,6,6
JRGCE - Water x N x Burn,2,2251.40971995568,2568.69339236606,4,4
JRGCE - Water x N x Burn,8,2231.72355701207,2385.4527331483,4,4
JRGCE - Heat,2,2298.12383734422,2294.90743044408,6,6
JRGCE - Heat,8,2385.4527331483,2438.46279388493,6,6
JRGCE - Heat x N,2,2287.7793129353,2454.29471731008,6,6
JRGCE - Heat x N,8,2282.96661572415,2449.06480603225,6,6
JRGCE - Heat x Water,2,2326.79559997743,2309.91366584067,6,6
JRGCE - Heat x Water,8,2074.46037682674,2413.72476554117,6,6
JRGCE - Heat x Water x N,2,2393.20797432551,2453.4790931983,6,6
JRGCE - Heat x Water x N,8,2109.80041731783,2406.65675744295,6,6
Merritt Island,0.624229979466119,1209.32013289157,1335.01911609036,8,8
Merritt Island,2.08898015058179,1130.50146446809,1220.06297692,8,8
Merritt Island,2.17111567419576,1263.55959839177,1291.71544697029,8,8
Merritt Island,2.31074606433949,1356.10980257947,1280.81924477758,8,8
Merritt Island,2.54620123203285,1733.89594077118,1567.26494958637,8,8
Merritt Island,3.35660506502396,1781.74208498601,1712.49281796454,8,8
Merritt Island,4.87063655030801,2191.1727411131,1941.45975311261,8,8
Merritt Island,5.99863107460643,2099.46892453477,1740.70576405173,8,8
Merritt Island,6,1999,1628,8,8
Merritt Island,11,1512,1411.2,8,8
NewZealandFACE,0,2685,2465,3,3
NewZealandFACE,1,2650,2490,3,3
NewZealandFACE,2,2655,2525,3,3
NewZealandFACE,3,2675,2565,3,3
NewZealandFACE,4,2515,2445,3,3
NewZealandFACE,5,2585,2490,3,3
NewZealandFACE,6,2518.75,2509.82142857143,3,3
NewZealandFACE,7,2599.10714285714,2534.375,3,3
NewZealandFACE,8,2659.375,2659.375,3,3
NewZealandFACE,9,2657.14285714286,2721.875,3,3
NewZealandFACE,10,2721.875,2822.32142857143,3,3
New Zealand Greenhouse,0,2112.24489795918,2122.44897959184,1,1
New Zealand Greenhouse,0.25,2122.44897959184,2142.85714285714,1,1
New Zealand Greenhouse,0.5,1969.38775510204,1979.59183673469,1,1
New Zealand Greenhouse,0.75,1969.38775510204,2000,1,1
New Zealand OTC - P. radiata,0,100,100,2,2
New Zealand OTC - P. radiata,6,411.688311688312,529.87012987013,2,2
New Zealand OTC - N. fusca,0,100,100,3,3
New Zealand OTC - N. fusca,6,2402.76976341604,3401.61569532602,3,3
ORNL FACE,0,2671.7277486911,2791.09947643979,3,2
ORNL FACE,2.42,2784.8167539267,2866.49214659686,3,2
ORNL FACE,4.33,2730.3664921466,2990.89005235602,3,2
ORNL FACE,11,3370,3850,3,2
Placerville - low N,0,8400,8000,3,3
Placerville - low N,1.75,7600,7600,3,3
Placerville - low N,5.5,7400,7600,3,3
Placerville - medium N,0,7800,7900,3,3
Placerville - medium N,1.75,7700,7800,3,3
Placerville - medium N,5.5,7400,8300,3,3
Placerville - high N,0,8100,7500,3,3
Placerville - high N,1.75,7500,8500,3,3
Placerville - high N,5.5,7400,8100,3,3
POPFACE - alba,0,1319.76666666667,1128.03333333333,3,3
POPFACE - alba,1,1364.51833333333,1195.05833333333,3,3
POPFACE - alba,2,1524.40835,1295.05023333333,3,3
POPFACE - alba,4,1629.3773567039,1377.48957544274,3,3
POPFACE - alba,5,1646.9292,1479.63993333333,3,3
POPFACE - euramericana,0,1251.8,1165.23333333333,3,3
POPFACE - euramericana,1,1429.215,1213.325,3,3
POPFACE - euramericana,2,1405.20828333333,1084.26115,3,3
POPFACE - euramericana,4,1634.56451378944,1431.2596072399,3,3
POPFACE - euramericana,5,1686.11177777778,1370.23926666667,3,3
POPFACE - nigra,0,1379.45,1149.25,3,3
POPFACE - nigra,1,1457.79833333333,1169.02666666667,3,3
POPFACE - nigra,2,1534.10996666667,1111.61515,3,3
POPFACE - nigra,4,1518.41407341818,1246.46500887004,3,3
POPFACE - nigra,5,1508.72306666667,1343.94695555556,3,3
Shortgrass prairie,0,617,645,3,3
Shortgrass prairie,1,527,542,3,3
Shortgrass prairie,2,488,522,3,3
Shortgrass prairie,3,618,616,3,3
Shortgrass prairie,4,603,593,3,3
SoyFACE,0,4802.88497060537,4141.97751084964,3,3
SoyFACE,5,4671.12158082426,4099.96727764607,3,3
SoyFACE,6,4437.46763989329,3836.17395063241,3,3
