date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
548681299-06-27,-1.33329,1,0,0,0
548681299-07-27,-2.77788,1,0,0,0
548681299-10-05,-3.22186,1,0,0,0
548681299-11-04,-3.24148,1,0,0,0
548681300-01-13,-3.99006,1,0,0,0
548681300-02-12,-4.29533,1,0,0,0
548681300-04-23,-2.7477,1,0,0,0
548681300-05-23,-0.601095,1,0,0,0
548681300-08-01,-0.403654,1,0,0,0
548681300-08-31,-0.868728,1,0,0,0
548681300-11-09,0.06571,1,0,0,0
548681300-12-09,0.812417,1,0,0,0
548681301-02-17,-2.91181,1,0,0,0
548681301-03-19,-1.90524,1,0,0,0
548681301-05-28,-1.06903,1,0,0,0
548681301-06-27,-6.65172,1,0,0,0
548681301-09-05,-1.35508,1,0,0,0
548681301-10-05,4.58434,1,0,26.709,0
548681301-12-14,4.57789,1,0,56.339,0
548681302-01-13,5.529,1,0,82.741,0
548681302-03-24,8.47841,1,0,133.123,0
548681302-04-23,3.68001,1,0,156.666,0
548681302-07-02,-8.51079,1,0,174.672,0
548681302-08-01,-5.61482,1,0,186.83,0
548681302-10-10,-4.74098,1,0,192.934,0
548681302-11-09,-4.98787,1,0,192.88,0
548681303-01-18,-1.99331,1,0,140.162,0
548681303-02-17,-0.979691,1,0,130.953,0
548681303-04-28,-1.3927,1,0,117.358,0
548681303-05-28,-1.00296,1,0,99.61,0
548681303-08-06,4.39428,1,0,78.01,0
548681303-09-05,3.78668,1,0,52.93,0
548681303-11-14,5.68068,1,0,9.171,0
548681303-12-14,5.38349,1,0,0,0
548681304-02-22,4.86744,1,0,0,0
548681304-03-23,3.81736,1,0,0,0
548681304-06-01,4.03343,1,0,0,0
548681304-07-01,2.21608,1,0,0,0
548681304-09-09,1.07335,1,0,0,0
548681304-10-09,0.324077,1,0,0,0
548681304-12-18,-2.46334,1,0,0,0
548681305-01-17,-2.14647,1,0,0,0
548681305-03-28,1.33376,1,0,0,0
548681305-04-27,1.47711,1,0,0,0
548681305-07-06,1.19951,1,0,0,0
548681305-08-05,1.19596,1,0,0,0
548681305-10-14,0.962074,1,0,0,0
548681305-11-13,1.07026,1,0,0,0
548681326-11-13,-1.02622,1,0,0,0
548681326-12-13,-2.80698,1,0,0,0
548681327-02-21,-3.25184,1,0,0,0
548681327-03-23,-3.2506,1,0,0,0
548681327-06-01,-3.97821,1,0,0,0
548681327-07-01,-4.26256,1,0,0,0
548681327-09-09,-2.69408,1,0,0,0
548681327-10-09,-0.526845,1,0,0,0
548681327-12-18,-0.308666,1,0,0,0
548681328-01-17,-0.777343,1,0,0,0
548681328-03-27,0.153582,1,0,0,0
548681328-04-26,0.896775,1,0,0,0
548681328-07-05,-5.03294,1,0,0,0
548681328-08-04,-3.22838,1,0,0,0
548681328-10-13,-1.94889,1,0,0,0
548681328-11-12,-1.06118,1,0,0,0
548681329-01-21,0.921509,1,0,0,0
548681329-02-20,4.63464,1,0,6.343,0
548681329-05-01,5.08849,1,0,13.374,0
548681329-05-31,5.85213,1,0,19.642,0
548681329-08-09,7.73054,1,0,63.358,0
548681329-09-08,-5.6436,1,0,74.579,0
548681329-11-17,-2.57193,1,0,83.172,0
548681329-12-17,-2.03477,1,0,88.989,0
548681330-02-25,0.869458,1,0,91.932,0
548681330-03-27,1.04292,1,0,91.95,0
548681330-06-05,3.43622,1,0,137.784,0
548681330-07-05,4.3749,1,0,128.836,0
548681330-09-13,5.33979,1,0,115.593,0
548681330-10-13,4.53601,1,0,98.279,0
548681330-12-22,5.74276,1,0,77.192,0
548681331-01-21,5.3258,1,0,52.692,0
548681331-04-01,5.85467,1,0,4.671,0
548681331-05-01,5.40839,1,0,0,0
548681331-07-10,5.0743,1,0,0,0
548681331-08-09,4.02139,1,0,0,0
548681331-10-18,3.65932,1,0,0,0
548681331-11-17,1.5702,1,0,0,0
548681332-01-26,0.446619,1,0,0,0
548681332-02-25,-0.025103,1,0,0,0
548681332-05-05,0.087946,1,0,0,0
548681332-06-04,0.002756,1,0,0,0
548681332-08-13,-0.263608,1,0,0,0
548681332-09-12,-0.081187,1,0,0,0
548681332-11-21,-0.099468,1,0,0,0
548681332-12-21,-0.091833,1,0,0,0
548681333-03-01,-0.254328,1,0,0,0
548681333-03-31,0.018345,1,0,0,0
548681354-03-31,-1.25423,1,0,0,0
548681354-04-30,-3.04709,1,0,0,0
548681354-07-09,-3.50399,1,0,0,0
548681354-08-08,-3.51033,1,0,0,0
548681354-10-17,-4.24551,1,0,0,0
548681354-11-16,-4.53751,1,0,0,0
548681355-01-25,-2.97666,1,0,0,0
548681355-02-24,-0.816969,1,0,0,0
548681355-05-05,-0.60641,1,0,0,0
548681355-06-04,-1.08296,1,0,0,0
548681355-08-13,-0.159803,1,0,0,0
548681355-09-12,0.575553,1,0,0,0
548681355-11-21,-3.1600799999999998,1,0,0,0
548681355-12-21,-2.16482,1,0,0,0
548681356-02-29,-1.3399,1,0,0,0
548681356-03-30,-0.529722,1,0,0,0
548681356-06-08,1.80797,1,0,0,0
548681356-07-08,4.48531,1,0,27.994,0
548681356-09-16,4.63441,1,0,58.94,0
548681356-10-16,5.31348,1,0,86.538,0
548681356-12-25,6.28742,1,0,182.063,0
548681357-01-24,2.39899,1,0,214.333,0
548681357-04-04,1.68683,1,0,239.077,0
548681357-05-04,1.4465,1,0,255.872,0
548681357-07-13,1.84932,1,0,264.432,0
548681357-08-12,1.72507,1,0,264.609,0
548681357-10-21,3.14045,1,0,223.638,0
548681357-11-20,3.50318,1,0,209.288,0
548681358-01-29,4.16896,1,0,187.992,0
548681358-02-28,4.24966,1,0,160.114,0
548681358-05-09,5.3135,1,0,126.132,0
548681358-06-08,4.69513,1,0,86.626,0
548681358-08-17,5.25718,1,0,9.929,0
548681358-09-16,4.7543,1,0,0,0
548681358-11-25,4.00793,1,0,0,0
548681358-12-25,2.97348,1,0,0,0
548681359-03-05,2.66054,1,0,0,0
548681359-04-04,1.39408,1,0,0,0
548681359-06-13,0.435062,1,0,0,0
548681359-07-13,-0.041116,1,0,0,0
548681359-09-21,-2.83261,1,0,0,0
548681359-10-21,-2.51989,1,0,0,0
548681359-12-30,-2.39313,1,0,0,0
548681360-01-29,-1.93189,1,0,0,0
548681360-04-08,-1.94926,1,0,0,0
548681360-05-08,-0.52657,1,0,0,0
548681360-07-17,-0.720243,1,0,0,0
